c_java,c_javascript,c_r,c_php,c_python,c_swift,c_chash,c_cplus,c_obj,c_os
1,1,0,0,1,0,0,1,0,L
0,1,0,1,0,0,0,0,0,L
1,1,0,1,0,0,0,0,0,M
0,1,0,1,1,0,0,0,0,W
1,1,0,1,1,0,1,0,0,W
0,0,0,0,0,0,1,0,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,1,1,0,1,0,0,W
0,1,0,1,0,0,0,0,0,W
1,1,0,0,0,0,0,0,0,L
0,0,0,1,0,0,1,1,1,W
0,1,0,0,1,0,0,0,0,W
0,1,0,1,0,0,0,0,0,M
1,1,1,0,1,0,0,0,0,L
1,1,0,1,1,0,0,1,0,W
0,0,0,0,0,0,0,0,0,W
1,0,0,0,1,0,0,0,0,W
0,0,0,0,1,0,0,0,0,W
1,1,0,0,0,0,1,0,0,M
0,1,0,1,0,0,0,0,0,M
1,1,0,0,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,1,0,L
1,1,1,0,1,1,0,0,1,M
1,1,1,0,1,0,0,0,0,L
0,0,1,0,1,0,0,0,0,W
0,1,0,1,0,0,1,0,0,W
1,1,0,1,1,0,0,1,0,L
1,1,1,1,1,0,0,1,0,M
0,1,1,1,1,0,0,0,0,L
1,1,1,1,1,1,1,1,0,W
0,0,0,0,0,0,1,0,0,W
1,0,0,0,1,0,0,0,0,L
1,0,0,0,1,0,0,1,1,L
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,0,0,0,M
1,1,0,1,0,0,1,1,0,W
0,1,0,0,0,0,0,0,0,W
1,1,0,0,0,0,0,0,0,L
0,1,0,1,0,0,0,0,0,M
0,1,1,0,1,0,1,0,0,W
1,0,0,0,0,0,0,0,0,L
1,1,0,0,1,0,0,0,0,W
1,1,1,0,1,0,1,0,0,W
0,0,0,0,0,0,0,0,0,L
1,0,0,1,1,0,1,0,0,W
0,1,0,0,0,0,0,0,0,L
0,1,0,0,1,0,0,0,0,W
0,0,0,0,1,0,0,1,0,L
1,1,0,1,0,0,0,0,0,W
1,1,0,1,0,0,1,1,0,L
0,1,0,1,1,0,0,0,0,W
1,1,0,0,0,0,0,0,0,M
1,1,0,1,0,0,1,1,0,W
0,1,0,0,0,0,1,0,0,W
0,1,1,0,1,0,1,1,0,W
1,0,0,0,0,0,0,1,0,L
1,1,0,0,1,0,0,0,0,L
0,0,0,0,1,0,0,0,0,L
1,0,0,1,1,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
0,1,0,1,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,L
0,1,1,0,1,0,0,0,0,W
0,1,0,0,1,0,0,0,0,M
0,0,0,0,0,1,0,0,0,M
0,0,1,0,1,0,0,1,0,L
0,0,0,0,1,1,1,0,0,M
0,1,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,0,1,0,L
0,0,0,0,0,0,0,0,0,L
0,1,0,0,1,0,0,0,0,M
1,1,0,1,1,0,1,1,0,L
1,0,0,0,1,0,0,0,0,W
0,1,0,1,0,0,0,0,0,M
1,1,0,1,0,0,1,1,0,W
0,0,0,0,0,0,0,1,0,W
0,1,0,0,1,0,0,0,0,M
0,1,0,0,0,0,0,0,0,M
0,1,0,1,0,0,0,0,0,W
1,1,0,0,1,0,0,0,0,W
0,0,0,0,1,1,0,0,0,M
1,0,0,1,1,0,1,1,0,W
1,1,0,1,1,0,1,1,1,W
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,1,1,1,W
0,0,1,0,1,0,0,0,0,M
0,1,0,1,1,0,0,0,0,W
0,0,0,0,0,0,0,0,0,M
1,1,0,1,0,0,1,0,0,W
1,1,0,0,0,0,1,0,0,W
0,0,0,0,0,0,1,0,0,W
1,1,0,0,0,0,0,0,0,L
0,1,0,1,0,0,0,1,0,W
0,0,0,0,1,0,1,0,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
0,1,0,0,1,0,1,1,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,0,0,1,1,0,0,W
1,1,1,0,1,0,0,0,0,L
0,0,0,1,0,0,0,0,0,M
0,0,0,0,1,0,0,0,0,L
1,1,0,0,1,0,1,1,0,L
1,1,0,0,0,0,0,0,0,L
0,0,0,0,0,1,0,0,0,M
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,0,1,0,L
0,1,0,0,0,0,1,0,0,W
1,0,0,0,1,0,0,1,0,L
1,1,0,1,0,0,1,0,0,W
0,1,0,1,0,0,1,0,0,W
0,1,0,0,1,0,1,0,0,W
0,1,0,0,0,0,0,0,0,L
0,1,0,0,0,0,1,0,0,W
1,0,0,0,0,0,0,0,0,W
1,1,0,0,1,0,1,1,0,L
1,1,0,1,0,0,1,1,0,W
0,0,0,0,1,0,0,1,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
0,1,0,1,1,0,0,1,0,W
1,0,0,0,0,0,1,0,0,L
0,1,0,1,1,0,1,0,0,W
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,0,0,0,0,0,1,1,0,L
0,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,1,1,0,L
0,0,0,0,1,0,0,1,0,L
1,1,0,0,0,0,0,0,0,W
1,1,0,0,0,0,0,0,0,M
1,1,0,1,1,0,0,1,0,W
0,1,0,1,1,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
0,0,0,0,0,1,0,0,0,M
0,1,0,1,1,0,0,1,0,L
0,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
1,0,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,W
1,0,0,1,0,0,0,0,0,W
1,1,0,0,1,0,1,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,1,0,1,0,0,0,L
0,0,0,0,1,0,0,1,0,M
0,1,0,1,0,0,0,0,0,L
0,1,1,1,1,0,0,0,0,L
0,1,0,1,1,0,0,1,0,L
0,1,0,1,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,M
0,0,0,1,1,0,1,0,0,W
0,1,0,0,1,0,0,1,0,L
1,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,1,1,0,W
1,1,0,1,0,0,0,0,0,M
1,0,0,0,1,0,0,0,0,L
0,1,0,1,1,0,1,1,1,M
0,1,0,0,0,0,0,0,0,M
1,1,1,1,1,0,0,1,0,W
1,0,0,0,0,0,0,0,0,M
0,1,0,0,0,0,0,0,0,L
1,1,0,0,0,0,0,0,1,M
1,1,0,1,0,0,0,0,0,W
1,0,0,0,1,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,1,0,W
1,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,1,0,0,W
0,1,0,0,1,0,0,0,0,L
1,1,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,1,0,W
0,1,0,1,1,0,0,0,0,L
1,1,0,1,0,0,0,0,0,L
0,1,0,0,0,0,0,0,0,L
0,0,0,0,1,0,0,0,0,L
0,1,0,1,0,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,1,0,1,1,0,0,0,0,M
0,0,0,0,1,0,0,0,0,L
0,0,0,0,0,0,1,0,0,W
1,0,0,0,1,0,1,0,0,W
0,1,0,0,1,0,0,0,0,M
0,1,0,1,1,0,1,0,0,L
1,1,0,1,0,0,1,1,0,W
1,0,0,0,1,0,1,1,0,L
1,1,0,1,1,1,1,1,1,W
1,0,0,0,1,0,0,0,0,M
0,0,0,0,0,0,0,0,0,L
0,0,0,0,1,0,0,0,0,W
1,1,0,0,0,0,1,0,0,W
0,0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,1,0,W
0,1,0,0,1,0,1,0,0,L
0,1,0,0,1,0,0,0,0,L
0,1,0,0,0,0,0,0,0,L
0,1,1,0,1,0,0,0,0,M
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,0,1,0,1,0,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,L
1,1,0,0,1,0,1,1,0,W
0,0,0,0,0,0,0,0,0,M
1,1,0,1,1,0,1,0,0,W
1,1,0,0,0,1,0,0,1,M
0,1,0,1,1,0,0,0,0,L
0,1,0,0,1,0,0,0,0,L
0,1,0,0,0,0,1,0,0,W
1,1,0,1,0,0,0,0,0,M
0,1,0,0,0,1,0,0,0,W
0,1,0,0,1,0,0,0,0,W
0,1,0,0,1,0,0,0,0,M
1,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,1,0,0,0,1,0,W
0,1,0,0,1,0,0,1,0,L
0,1,0,0,0,0,0,0,0,L
0,1,0,1,1,0,1,1,0,W
1,1,0,1,0,0,0,0,0,L
0,1,0,1,1,0,1,0,0,L
1,0,0,0,1,0,0,1,0,M
1,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,1,1,0,L
1,0,0,0,0,0,0,0,0,W
0,1,0,0,1,0,0,0,0,L
1,1,0,1,1,0,1,1,0,M
0,0,0,0,1,0,0,1,0,L
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,1,1,0,W
0,1,0,0,0,0,1,0,0,W
0,0,0,0,1,0,0,0,0,L
1,1,0,0,0,0,1,1,0,W
0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,W
1,1,0,0,0,0,1,1,0,W
1,1,0,1,1,0,0,0,0,W
1,1,0,1,1,0,1,0,0,W
0,1,0,1,1,0,1,1,0,W
0,1,0,1,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,W
0,0,0,0,1,0,1,1,0,W
1,0,0,1,0,0,1,0,0,W
1,1,0,0,1,0,0,1,0,L
1,1,0,1,0,0,0,0,0,L
0,0,0,1,1,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
0,1,0,0,1,0,0,0,0,M
0,1,0,1,1,0,1,1,0,W
0,1,0,0,1,0,0,0,0,W
0,1,0,0,1,0,0,1,0,L
0,1,0,1,0,0,0,0,0,M
1,0,0,0,1,0,0,1,0,M
0,0,0,0,0,0,1,0,0,W
0,0,0,0,1,0,0,0,0,L
0,1,0,1,1,0,0,1,0,L
1,1,0,1,1,0,1,1,0,W
1,1,1,1,1,0,0,0,0,M
0,1,0,1,1,0,0,0,0,L
0,1,0,0,0,0,0,0,0,M
0,1,0,0,0,0,0,0,0,W
0,0,0,0,1,0,0,0,0,L
0,1,0,0,0,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
1,1,0,1,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,1,1,1,0,0,0,0,M
0,1,0,1,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
1,1,0,0,1,0,0,0,0,W
1,1,1,0,1,0,0,1,0,L
1,1,0,0,1,0,1,0,0,W
1,0,0,0,0,0,0,1,0,W
1,0,0,0,0,0,1,0,0,W
1,1,0,0,0,0,1,0,0,W
1,1,0,1,1,0,1,0,0,W
0,0,0,0,0,0,0,0,0,W
1,1,0,0,1,0,0,0,0,M
0,1,0,0,1,0,0,1,0,L
1,1,0,0,1,0,1,0,0,W
1,1,0,0,0,0,0,1,0,L
0,0,0,1,1,0,0,0,0,W
1,0,0,0,1,0,0,1,0,L
1,1,0,0,1,0,1,1,0,L
1,1,0,0,1,0,1,0,0,W
0,1,0,0,1,0,0,0,0,W
0,1,0,0,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,M
1,0,0,0,1,0,1,0,0,W
0,1,0,0,0,0,1,0,0,M
0,1,0,1,0,0,0,0,0,M
0,1,0,1,0,0,0,0,0,L
0,1,0,1,1,0,1,0,0,W
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,0,0,0,M
0,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,0,0,0,L
1,0,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,L
1,1,0,1,0,0,1,1,0,W
1,1,0,1,1,0,1,1,0,L
0,1,0,1,1,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,1,1,1,1,0,0,0,0,L
1,1,0,0,1,0,1,0,0,L
0,0,0,0,1,0,0,0,0,L
0,1,0,1,0,0,0,0,0,W
1,1,0,0,1,0,0,0,0,W
0,1,0,1,0,0,0,1,0,W
0,1,0,0,1,0,1,0,0,W
0,1,0,0,0,0,1,0,0,W
0,0,0,0,1,0,0,1,0,M
0,0,0,0,0,0,0,1,0,L
0,0,0,0,0,0,0,0,0,W
0,0,0,0,1,0,1,1,0,W
0,0,0,0,1,0,0,1,0,L
0,0,0,0,1,0,0,0,0,L
1,1,0,1,0,1,0,0,1,W
0,1,0,0,0,0,0,0,0,W
1,1,0,1,1,0,1,0,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,0,0,0,0,0,0,L
0,1,0,0,0,0,1,0,0,M
1,1,0,1,0,0,1,0,0,M
1,1,0,1,1,0,0,0,0,L
0,1,0,0,0,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
1,1,0,1,0,0,0,1,0,W
0,1,0,0,1,0,0,0,0,M
1,1,0,0,1,0,1,1,0,W
0,1,0,1,1,0,1,0,0,W
0,0,0,0,1,0,0,0,0,W
1,1,0,0,1,0,0,1,0,L
0,0,0,0,0,0,1,0,0,L
1,1,0,1,1,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,1,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,0,0,0,0,0,0,0,0,M
0,0,0,0,1,0,1,0,0,L
1,1,0,0,1,0,0,1,0,L
1,1,0,0,0,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,0,0,0,1,0,1,0,0,W
1,1,1,1,1,1,1,1,1,W
0,1,0,0,0,0,0,0,0,W
1,1,0,0,0,0,0,0,0,L
1,1,0,1,1,0,0,0,0,W
1,1,0,1,1,0,0,0,0,M
0,0,0,0,1,0,0,0,0,L
1,0,0,0,1,0,0,1,0,W
0,1,0,1,0,0,0,0,0,M
1,1,0,0,1,1,0,0,0,M
0,0,0,0,0,0,1,0,0,W
1,1,0,1,0,0,0,1,0,W
0,0,0,0,1,0,0,0,0,L
1,1,0,1,1,0,1,1,0,L
0,1,0,1,0,0,0,1,0,M
0,1,0,0,0,0,0,0,0,L
1,1,0,1,1,1,1,1,0,W
0,1,0,1,0,0,0,0,0,M
1,1,0,1,1,0,0,0,1,M
0,0,0,0,1,0,1,0,0,W
1,1,0,0,1,0,0,0,0,W
1,1,0,1,1,0,1,1,0,W
0,0,0,0,1,0,0,0,0,W
1,1,0,0,0,0,1,1,0,W
1,1,0,0,1,0,0,0,0,W
0,0,0,0,0,0,1,0,0,W
1,0,0,0,0,0,0,0,0,L
1,1,0,0,1,1,1,0,0,M
0,1,0,0,1,0,0,0,0,M
0,1,0,0,1,0,1,1,0,W
1,0,0,0,0,1,0,0,0,M
0,1,0,0,1,0,0,0,0,W
0,0,0,0,0,0,0,1,0,L
0,1,0,0,1,0,0,0,0,M
1,1,0,0,1,0,0,1,0,W
0,1,1,0,1,0,0,1,0,W
0,0,0,0,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,0,1,0,0,0,0,L
0,1,0,1,1,0,0,0,0,L
0,0,0,0,1,0,1,0,0,W
0,1,0,0,0,0,0,1,0,M
0,1,0,1,1,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,0,0,1,1,1,0,0,0,W
0,1,0,0,1,0,0,0,0,W
0,0,0,0,0,0,0,1,0,L
0,1,0,0,1,0,0,0,0,L
1,1,0,0,0,0,0,0,0,W
1,0,0,0,0,0,0,0,0,M
0,1,0,0,1,0,1,1,0,L
0,1,0,1,0,0,0,0,0,L
1,1,0,0,0,0,1,0,0,W
0,1,0,0,1,0,0,1,0,L
0,1,0,0,1,0,1,0,0,M
1,1,0,0,1,1,1,0,1,M
1,1,0,0,1,0,1,1,0,M
0,1,0,1,1,0,0,0,0,M
1,1,0,0,1,0,0,0,0,M
0,1,0,1,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,0,0,0,1,0,0,0,0,W
0,1,0,1,1,0,0,0,0,W
1,0,1,0,0,1,1,0,0,W
0,0,0,1,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,M
0,1,0,0,1,0,1,1,0,W
1,1,1,0,1,0,0,0,0,W
0,0,0,0,1,0,1,0,0,W
0,0,0,0,0,0,0,1,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,0,0,0,0,0,0,L
1,0,0,0,0,0,1,0,0,W
1,1,0,1,0,0,0,0,0,M
0,0,0,0,1,0,1,0,0,W
0,1,0,0,1,0,0,0,0,W
0,1,0,0,1,0,0,0,0,L
0,1,0,1,1,0,1,1,0,W
0,0,1,0,0,0,0,0,0,M
0,1,0,1,0,0,1,1,0,W
0,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
1,1,0,0,1,0,1,1,1,W
0,1,0,0,0,0,1,0,0,M
0,1,0,1,0,0,0,0,0,M
1,1,0,0,1,0,1,1,0,W
1,0,0,1,0,0,0,0,0,M
1,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,1,0,W
1,1,0,0,0,0,0,0,0,L
1,0,0,1,0,0,0,0,0,M
0,0,0,0,1,0,0,1,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,1,1,0,W
0,0,0,0,0,0,0,0,0,W
1,1,0,1,0,0,1,0,0,M
0,1,0,0,0,0,1,0,0,W
0,1,0,0,1,1,0,0,0,M
0,1,0,1,1,0,1,0,0,M
0,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,0,0,0,M
0,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,1,0,0,W
1,1,0,1,0,0,1,0,0,W
1,1,0,0,0,0,0,0,0,W
0,0,1,0,1,0,0,0,0,W
0,0,1,0,0,0,0,0,0,W
1,1,0,0,1,0,0,1,0,W
0,0,0,0,1,0,0,0,0,W
1,1,0,1,1,0,0,0,0,W
0,1,0,0,0,0,1,0,0,M
1,1,0,0,0,0,0,0,0,M
1,1,0,1,1,1,1,0,1,M
1,1,0,1,0,0,0,0,0,L
1,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,W
0,1,0,1,1,0,0,0,0,M
1,1,1,0,0,0,0,1,0,W
0,0,0,1,1,0,0,0,0,L
1,1,0,0,0,0,1,1,0,L
0,0,0,0,1,0,0,0,0,M
1,0,0,0,0,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,1,1,0,0,W
1,1,0,0,1,0,1,1,0,W
1,0,0,0,1,0,0,0,0,W
1,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,0,1,0,1,0,0,0,0,M
1,0,0,0,0,0,0,0,0,W
1,0,0,0,1,0,1,1,0,L
0,1,0,1,1,0,0,0,0,W
1,1,0,1,1,0,1,1,0,L
1,1,0,0,0,0,1,0,0,W
0,1,0,0,1,0,1,1,0,L
1,0,0,1,0,0,0,0,0,L
1,1,0,1,1,0,1,0,0,M
0,1,0,0,1,0,0,1,0,W
0,0,0,0,0,0,0,0,0,L
0,0,0,0,0,0,0,0,1,W
0,1,0,1,1,0,0,0,0,W
1,1,0,1,0,0,0,0,0,M
0,0,1,0,1,0,0,0,0,W
0,0,0,0,1,0,0,1,0,M
0,1,0,1,1,0,1,1,0,W
1,1,0,0,1,0,1,0,0,W
0,1,0,1,0,0,0,0,0,W
0,0,0,1,1,0,0,0,0,L
0,1,0,0,0,0,1,0,0,W
1,1,0,1,1,0,0,1,0,W
0,1,0,1,0,0,0,0,0,W
1,0,0,0,1,0,0,0,0,L
0,1,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,0,0,0,1,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
0,0,1,0,0,0,0,0,0,L
1,1,0,1,1,0,1,1,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,1,0,1,1,0,0,W
0,1,0,0,0,0,0,0,0,L
1,1,0,1,0,0,0,1,0,W
1,0,0,0,0,1,0,1,1,M
0,1,0,0,0,0,0,0,0,L
0,1,0,0,0,1,0,0,0,M
1,0,0,0,0,0,0,1,0,W
0,1,0,1,1,0,1,1,0,L
0,1,0,0,1,0,1,0,0,W
0,0,0,1,1,0,0,0,0,M
1,1,0,1,0,0,1,0,0,W
1,1,0,0,1,0,0,0,0,L
0,0,0,0,1,0,0,1,0,L
1,1,0,1,1,0,0,1,0,L
0,1,0,1,0,0,1,0,0,M
0,1,0,0,0,0,0,0,0,M
0,1,0,0,0,0,0,0,0,M
0,1,0,0,1,0,0,0,0,L
0,1,0,0,1,0,0,0,0,L
1,1,0,0,1,0,0,0,0,L
0,1,0,1,0,0,0,0,0,W
1,0,0,0,0,0,0,1,0,L
0,1,0,0,1,0,0,0,0,M
1,1,0,0,1,0,1,1,0,W
1,1,0,0,1,0,0,0,0,W
0,0,0,0,0,0,1,0,0,W
0,1,0,1,1,0,1,0,0,W
0,0,0,0,1,0,0,0,0,W
0,0,0,0,0,0,1,0,0,M
1,1,0,1,0,0,0,1,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,W
1,1,0,0,0,1,0,0,1,M
0,1,0,0,0,0,1,0,0,W
0,1,0,1,0,0,1,0,0,M
1,1,0,0,1,0,0,0,0,L
1,1,0,0,0,0,1,1,0,W
1,1,0,0,0,0,0,0,0,L
0,1,0,1,0,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
0,0,0,0,1,0,1,0,0,L
1,1,0,0,1,0,0,0,0,L
0,0,1,0,1,0,0,0,0,M
0,0,0,0,0,0,0,0,0,L
1,1,0,1,0,0,0,0,0,W
1,1,0,1,0,0,0,0,0,L
1,0,1,0,1,0,1,1,0,W
1,1,0,0,0,0,0,0,0,M
1,1,1,0,0,0,0,0,0,W
0,1,0,1,0,0,0,1,0,L
1,0,0,0,1,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
0,1,0,1,0,0,0,0,0,M
0,1,0,1,0,0,1,0,0,W
0,0,0,0,1,0,0,0,0,M
0,1,0,1,1,0,0,0,0,M
0,1,0,1,1,0,1,0,0,W
1,1,0,1,1,0,0,0,0,W
1,0,0,0,0,0,0,0,0,L
1,0,0,0,1,1,1,1,0,M
0,1,0,1,1,0,1,1,0,L
0,1,0,1,0,0,0,0,0,W
0,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
1,1,0,0,0,0,0,1,0,L
1,0,0,0,0,1,0,0,0,M
1,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,1,0,0,0,0,0,M
0,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,0,0,0,M
1,0,1,0,1,0,0,1,0,M
0,1,0,0,1,0,0,0,0,L
1,0,1,0,1,0,0,1,0,M
1,1,0,0,1,0,0,0,0,M
1,0,0,0,0,0,1,0,0,W
1,1,0,0,0,1,0,0,0,M
0,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
0,1,0,0,0,0,0,1,0,L
1,1,1,0,1,0,0,0,0,L
0,1,0,0,0,0,1,0,0,M
0,1,0,0,0,0,0,0,0,L
0,0,0,0,0,0,1,1,0,W
1,1,0,1,0,0,1,0,0,W
0,1,0,0,1,0,0,0,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,0,1,0,1,0,0,M
1,1,0,0,0,1,0,0,0,M
1,1,0,0,0,0,1,0,0,W
0,1,0,1,0,0,0,0,0,L
1,0,0,0,1,0,0,0,0,L
0,1,0,0,1,0,1,0,0,W
1,1,1,0,1,0,1,0,0,W
0,1,0,1,0,0,0,0,0,M
0,1,0,0,1,0,0,0,0,L
0,0,0,0,0,0,1,1,0,W
0,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,M
0,1,0,1,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,W
1,0,0,0,0,0,0,0,0,W
0,0,0,0,0,0,0,0,0,W
1,1,0,1,0,0,0,1,0,W
0,1,0,1,1,0,0,0,0,M
1,1,0,0,1,0,0,0,0,L
1,1,1,1,1,1,1,1,1,M
1,1,0,0,1,0,0,0,0,M
0,1,0,1,0,0,1,0,0,L
0,1,0,1,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,W
1,1,0,0,1,0,0,0,0,M
0,1,0,0,0,0,0,0,0,L
0,0,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,L
0,1,0,1,0,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
1,1,0,0,1,0,0,1,0,W
0,1,0,0,1,0,0,0,0,M
0,1,0,1,1,0,0,0,0,M
0,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,1,0,0,W
0,1,0,0,0,0,0,0,0,M
0,1,0,0,1,0,1,0,0,M
0,1,0,0,0,0,0,0,0,M
0,1,0,0,0,0,0,0,0,W
0,0,0,0,0,0,1,0,0,L
0,1,0,1,1,0,1,1,0,L
0,1,0,0,0,0,1,0,0,W
0,1,0,1,1,0,0,0,0,W
0,0,0,1,0,0,1,0,0,W
0,1,0,0,1,0,0,0,0,M
0,1,0,1,1,0,1,0,0,W
0,1,0,0,0,0,0,0,0,M
0,0,0,0,1,0,0,0,0,L
1,1,0,1,0,0,0,0,0,W
1,0,0,0,0,0,0,0,0,L
0,1,0,0,1,0,0,0,0,M
0,1,0,0,0,0,1,0,0,W
0,1,0,0,1,0,1,0,0,M
0,1,0,1,1,0,0,1,0,L
1,1,0,0,1,0,1,1,0,W
0,0,0,0,0,0,0,0,0,W
1,0,0,0,1,0,0,0,0,L
0,1,0,1,0,0,1,1,0,W
1,1,0,0,0,0,0,0,0,M
1,1,0,0,1,0,0,1,0,W
0,1,0,0,0,0,0,0,0,M
1,1,0,0,0,0,1,0,0,L
0,1,0,1,0,0,0,0,0,L
0,0,0,0,0,0,0,0,0,W
0,1,0,0,0,0,1,0,0,L
0,0,0,0,0,0,0,0,0,M
1,1,0,0,0,0,0,0,0,L
1,1,0,0,0,0,0,0,0,L
0,1,0,1,0,0,1,0,0,W
0,0,0,1,0,0,0,0,0,W
0,1,0,0,1,0,0,0,0,W
1,1,0,0,1,0,0,1,0,L
1,1,0,0,1,0,0,0,0,L
0,0,0,0,1,0,0,0,0,M
0,1,0,0,1,0,0,0,0,M
1,1,0,1,0,0,1,0,0,W
1,1,0,1,0,1,0,0,1,M
1,1,0,1,1,1,1,0,1,M
0,1,0,0,0,0,1,0,0,W
1,1,0,0,0,0,1,1,0,W
0,0,0,0,0,0,0,1,0,W
1,0,0,0,0,0,0,0,0,W
1,1,0,0,1,0,0,0,0,L
1,1,0,1,1,0,0,1,0,W
0,0,0,0,0,0,0,0,0,M
0,1,0,1,1,0,0,0,0,W
1,1,0,1,0,0,0,1,0,W
